=== big_periods ===
test_name seed_costas.e seed_kociumaka.e seed_kociumaka_nlogn.e
bigperiod_500000_7_325000.in 1.9028987884521484 3.4810690879821777 1.211632251739502
bigperiod_500000_26_236666.in 1.4982705116271973 3.502878189086914 1.2903685569763184
bigperiod_500000_4_186666.in 1.8921747207641602 3.2806026935577393 1.2252261638641357
bigperiod_500000_2_243333.in 2.5376148223876953 3.845176935195923 1.229076623916626
bigperiod_500000_2_106666.in 2.096010208129883 3.7579684257507324 1.1886131763458252
bigperiod_500000_2_320000.in 2.6088194847106934 3.9552462100982666 1.208061695098877
bigperiod_500000_10_26666.in 1.1337800025939941 3.3860061168670654 1.1325180530548096
bigperiod_500000_10_76666.in 1.296262264251709 3.537524700164795 1.1988554000854492
bigperiod_500000_2_200000.in 2.4250857830047607 3.4415283203125 1.195133924484253
bigperiod_500000_10_160000.in 1.4762327671051025 3.715305805206299 1.2459595203399658
bigperiod_500000_26_370000.in 1.5930356979370117 1.8088805675506592 1.2298924922943115
bigperiod_500000_7_75000.in 1.4187960624694824 3.5575971603393555 1.2118370532989502
bigperiod_500000_62_63333.in 0.9947919845581055 3.558713436126709 1.2885653972625732
bigperiod_500000_62_20000.in 0.877849817276001 3.392343044281006 1.178391933441162
bigperiod_500000_10_255000.in 1.7476897239685059 3.8536643981933594 1.262618064880371
bigperiod_500000_2_130000.in 2.1874186992645264 4.028783321380615 1.177750825881958
bigperiod_500000_10_445000.in 1.8199353218078613 1.8788435459136963 1.2056541442871094
bigperiod_500000_62_6666.in 0.7867443561553955 3.073763370513916 1.1189706325531006
bigperiod_500000_26_40000.in 1.016866683959961 3.5051956176757812 1.1751914024353027
bigperiod_500000_10_35000.in 1.1654448509216309 3.439324140548706 1.184417963027954
bigperiod_500000_26_273333.in 1.5455236434936523 3.736173629760742 1.2655808925628662
bigperiod_500000_10_265000.in 1.7694754600524902 3.7286667823791504 1.2635440826416016
bigperiod_500000_10_480000.in 1.828972578048706 1.8366084098815918 1.2209300994873047
bigperiod_500000_7_215000.in 1.7439610958099365 3.860050916671753 1.2724974155426025
bigperiod_500000_2_263333.in 2.650434970855713 4.053058624267578 1.2241179943084717
bigperiod_500000_4_195000.in 1.9186697006225586 3.280336380004883 1.2610657215118408
bigperiod_500000_26_3333.in 0.8042371273040771 2.932814121246338 1.0659220218658447
bigperiod_500000_4_125000.in 1.7373807430267334 3.952131986618042 1.2099635601043701
bigperiod_500000_26_53333.in 1.0606122016906738 3.568850040435791 1.2110595703125
bigperiod_500000_4_155000.in 1.7965672016143799 3.9117987155914307 1.2079684734344482
